Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
GCAM 4.2,SSP1-19,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.039515782,,,,,,,,,,0.17034423,,,,,,,,,,0.404596178,,,,,,,,,,0.778776554,C1,
GCAM 4.2,SSP2-19,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.041681795,,,,,,,,,,0.175340724,,,,,,,,,,0.468840626,,,,,,,,,,1.042505017,,
IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Capacity|Hydrogen|Electricity,GW,3.66E-08,,,,,3.66E-08,,,,,0.0119639,,,,,0.276977646,,,,,2.192804321,,,,,10.95801514,,,,,20.40525146,C1,
IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,8.96E-10,,,,,1.04E-09,,,,,0.00033417,,,,,0.007834959,,,,,0.05928742,,,,,0.282957936,,,,,0.524156608,C1,
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Capacity|Hydrogen|Electricity,GW,4.80E-08,,,,,4.80E-08,,,,,0.982216837,,,,,75.53572066,,,,,346.0403872,,,,,608.3252222,,,,,1047.22781,C1,
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,1.11E-09,,,,,1.37E-09,,,,,0.027335915,,,,,2.138720853,,,,,9.067365592,,,,,12.09080956,,,,,26.81999206,C1,
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Capacity|Hydrogen|Electricity,GW,3.66E-08,,,,,3.66E-08,,,,,1.552448962,,,,,86.24515268,,,,,368.5393818,,,,,637.9714089,,,,,935.7761689,C1,
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,8.96E-10,,,,,1.04E-09,,,,,0.041940619,,,,,2.43358205,,,,,9.286282834,,,,,12.37274255,,,,,22.5351253,C1,
IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Capacity|Hydrogen|Electricity,GW,3.66E-08,,,,,3.66E-08,,,,,0.01251349,,,,,0.243672036,,,,,0.726228588,,,,,6.317461151,,,,,22.33387512,C1,
IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,8.96E-10,,,,,1.04E-09,,,,,0.000355183,,,,,0.006933185,,,,,0.019390944,,,,,0.173804392,,,,,0.616466016,C1,
